id,reservation_date,checkout_date,return_date,member_id
11,01/01/2017,04/01/2017,03/02/2017,1791
16,02/01/2017,05/01/2017,04/02/2017,1180
29,03/01/2017,06/01/2017,05/02/2017,1472
29,04/01/2017,07/01/2017,06/02/2017,2120
43,-,08/01/2017,07/02/2017,1271
38,06/01/2017,09/01/2017,08/02/2017,1441
48,07/01/2017,10/01/2017,09/02/2017,1812
2,08/01/2017,11/01/2017,10/02/2017,1084
8,09/01/2017,12/01/2017,11/02/2017,2045
47,10/01/2017,13/01/2017,12/02/2017,1572
25,-,14/01/2017,13/02/2017,1605
25,12/01/2017,15/01/2017,14/02/2017,1844
1,13/01/2017,16/01/2017,15/02/2017,2573
36,14/01/2017,17/01/2017,16/02/2017,2723
20,15/01/2017,18/01/2017,17/02/2017,2106
33,-,19/01/2017,18/02/2017,2399
29,17/01/2017,20/01/2017,19/02/2017,1566
32,18/01/2017,21/01/2017,20/02/2017,2502
28,-,22/01/2017,21/02/2017,2641
1,20/01/2017,23/01/2017,22/02/2017,2627
6,21/01/2017,24/01/2017,23/02/2017,2521
24,22/01/2017,25/01/2017,24/02/2017,2596
29,-,26/01/2017,25/02/2017,1378
27,-,27/01/2017,26/02/2017,2698
1,25/01/2017,28/01/2017,27/02/2017,1386
10,26/01/2017,29/01/2017,28/02/2017,1806
43,27/01/2017,30/01/2017,01/03/2017,2546
29,28/01/2017,31/01/2017,02/03/2017,1995
44,29/01/2017,01/02/2017,03/03/2017,1023
41,30/01/2017,02/02/2017,04/03/2017,1730
32,-,03/02/2017,05/03/2017,2371
28,01/02/2017,04/02/2017,06/03/2017,1219
44,02/02/2017,05/02/2017,07/03/2017,2417
22,03/02/2017,06/02/2017,08/03/2017,1687
25,04/02/2017,07/02/2017,09/03/2017,1962
18,05/02/2017,08/02/2017,10/03/2017,2405
41,06/02/2017,09/02/2017,11/03/2017,2110
33,07/02/2017,10/02/2017,12/03/2017,1859
44,-,11/02/2017,13/03/2017,1470
9,09/02/2017,12/02/2017,14/03/2017,1242
12,10/02/2017,13/02/2017,15/03/2017,1211
47,-,14/02/2017,16/03/2017,2410
24,12/02/2017,15/02/2017,17/03/2017,2588
11,13/02/2017,16/02/2017,18/03/2017,2452
46,14/02/2017,17/02/2017,19/03/2017,2016
22,15/02/2017,18/02/2017,20/03/2017,1534
44,16/02/2017,19/02/2017,21/03/2017,1985
8,17/02/2017,20/02/2017,22/03/2017,1862
41,18/02/2017,21/02/2017,23/03/2017,1950
39,19/02/2017,22/02/2017,24/03/2017,2483
17,20/02/2017,23/02/2017,25/03/2017,2327
28,21/02/2017,24/02/2017,26/03/2017,1055
41,22/02/2017,25/02/2017,27/03/2017,2506
11,23/02/2017,26/02/2017,28/03/2017,1503
38,24/02/2017,27/02/2017,29/03/2017,1995
13,25/02/2017,28/02/2017,30/03/2017,1800
49,26/02/2017,01/03/2017,31/03/2017,1485
26,27/02/2017,02/03/2017,01/04/2017,2309
42,28/02/2017,03/03/2017,02/04/2017,2052
6,01/03/2017,04/03/2017,03/04/2017,1890
22,02/03/2017,05/03/2017,04/04/2017,1907
49,03/03/2017,06/03/2017,05/04/2017,1797
27,04/03/2017,07/03/2017,06/04/2017,2267
25,-,08/03/2017,07/04/2017,1778
8,06/03/2017,09/03/2017,08/04/2017,2584
7,07/03/2017,10/03/2017,09/04/2017,1540
49,08/03/2017,11/03/2017,10/04/2017,2134
29,09/03/2017,12/03/2017,11/04/2017,2363
47,10/03/2017,13/03/2017,12/04/2017,2499
19,11/03/2017,14/03/2017,13/04/2017,1550
42,12/03/2017,15/03/2017,14/04/2017,1116
28,13/03/2017,16/03/2017,15/04/2017,1325
26,14/03/2017,17/03/2017,16/04/2017,1120
36,15/03/2017,18/03/2017,17/04/2017,1853
31,16/03/2017,19/03/2017,18/04/2017,1503
48,17/03/2017,20/03/2017,19/04/2017,1170
37,18/03/2017,21/03/2017,20/04/2017,1098
37,19/03/2017,22/03/2017,21/04/2017,2415
8,20/03/2017,23/03/2017,22/04/2017,2644
29,-,24/03/2017,23/04/2017,2280
1,22/03/2017,25/03/2017,24/04/2017,1348
49,23/03/2017,26/03/2017,25/04/2017,2009
9,24/03/2017,27/03/2017,26/04/2017,2710
44,25/03/2017,28/03/2017,27/04/2017,2531
29,-,29/03/2017,28/04/2017,1892
36,-,30/03/2017,29/04/2017,2558
5,28/03/2017,31/03/2017,30/04/2017,2359
44,29/03/2017,01/04/2017,01/05/2017,1837
48,30/03/2017,02/04/2017,02/05/2017,1387
43,31/03/2017,03/04/2017,03/05/2017,1810
9,01/04/2017,04/04/2017,04/05/2017,1811
22,02/04/2017,05/04/2017,05/05/2017,1359
50,03/04/2017,06/04/2017,06/05/2017,1644
35,04/04/2017,07/04/2017,07/05/2017,2068
11,05/04/2017,08/04/2017,08/05/2017,1809
47,-,09/04/2017,09/05/2017,2702
9,-,10/04/2017,10/05/2017,1743
29,08/04/2017,11/04/2017,11/05/2017,1363
24,09/04/2017,12/04/2017,12/05/2017,1790
42,10/04/2017,13/04/2017,13/05/2017,2008
12,11/04/2017,14/04/2017,14/05/2017,1465
9,12/04/2017,15/04/2017,15/05/2017,1620
33,13/04/2017,16/04/2017,16/05/2017,1059
3,14/04/2017,17/04/2017,17/05/2017,1530
45,15/04/2017,18/04/2017,18/05/2017,1952
10,16/04/2017,19/04/2017,19/05/2017,2224
23,17/04/2017,20/04/2017,20/05/2017,1021
6,-,21/04/2017,21/05/2017,2672
18,19/04/2017,22/04/2017,22/05/2017,2157
25,20/04/2017,23/04/2017,23/05/2017,2117
16,21/04/2017,24/04/2017,24/05/2017,2054
22,-,25/04/2017,25/05/2017,1924
12,23/04/2017,26/04/2017,26/05/2017,2195
18,24/04/2017,27/04/2017,27/05/2017,1101
21,25/04/2017,28/04/2017,28/05/2017,1299
10,-,29/04/2017,29/05/2017,1588
46,27/04/2017,30/04/2017,30/05/2017,1135
29,28/04/2017,01/05/2017,31/05/2017,1867
44,29/04/2017,02/05/2017,01/06/2017,1959
21,30/04/2017,03/05/2017,02/06/2017,1859
40,01/05/2017,04/05/2017,03/06/2017,1806
41,02/05/2017,05/05/2017,04/06/2017,2461
47,03/05/2017,06/05/2017,05/06/2017,1090
30,04/05/2017,07/05/2017,06/06/2017,1333
32,05/05/2017,08/05/2017,07/06/2017,2527
27,06/05/2017,09/05/2017,08/06/2017,2069
33,07/05/2017,10/05/2017,09/06/2017,2031
37,08/05/2017,11/05/2017,10/06/2017,1935
50,09/05/2017,12/05/2017,11/06/2017,1853
34,10/05/2017,13/05/2017,12/06/2017,1438
4,11/05/2017,14/05/2017,13/06/2017,2016
27,12/05/2017,15/05/2017,14/06/2017,1364
2,13/05/2017,16/05/2017,15/06/2017,1758
49,14/05/2017,17/05/2017,16/06/2017,1094
10,15/05/2017,18/05/2017,17/06/2017,1578
38,16/05/2017,19/05/2017,18/06/2017,1747
12,-,20/05/2017,19/06/2017,2404
24,18/05/2017,21/05/2017,20/06/2017,2169
24,19/05/2017,22/05/2017,21/06/2017,1894
