,Title,Author,Price,Genre
0,10-Day Green Smoothie Cleanse,JJ Smith,8,Non Fiction
1,11/22/63: A Novel,Stephen King,22,Fiction
2,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,15,Non Fiction
3,1984 (Signet Classics),George Orwell,6,Fiction
4,5 000 Awesome Facts (About Everything!) (National Geographic Kids),National Geographic Kids,12,Non Fiction
5,A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,11,Fiction
6,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,30,Fiction
7,A Gentleman in Moscow: A Novel,Amor Towles,15,Fiction
8,A Higher Loyalty: Truth  Lies  and Leadership,James Comey,3,Non Fiction
9,A Man Called Ove: A Novel,Fredrik Backman,8,Fiction
10,A Man Called Ove: A Novel,Fredrik Backman,8,Fiction
11,A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,2,Non Fiction
12,A Stolen Life: A Memoir,Jaycee Dugard,32,Non Fiction
13,A Wrinkle in Time (Time Quintet),Madeleine L'Engle,5,Fiction
14,Act Like a Lady  Think Like a Man: What Men Really Think About Love  Relationships  Intimacy  and Commitment,Steve Harvey,17,Non Fiction
15,Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs  Mandalas  Animals  and Paisley Patterns,Adult Coloring Book Designs,4,Non Fiction
16,Adult Coloring Book: Stress Relieving Animal Designs,Blue Star Coloring,6,Non Fiction
17,Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,6,Non Fiction
18,Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers  Animals  and Paisley…,Coloring Books for Adults,8,Non Fiction
19,Alexander Hamilton,Ron Chernow,13,Non Fiction
20,All the Light We Cannot See,Anthony Doerr,14,Fiction
21,All the Light We Cannot See,Anthony Doerr,14,Fiction
22,Allegiant,Veronica Roth,13,Fiction
23,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,9,Non Fiction
24,And the Mountains Echoed,Khaled Hosseini,13,Fiction
25,Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,5,Non Fiction
26,Astrophysics for People in a Hurry,Neil deGrasse Tyson,9,Non Fiction
27,Autobiography of Mark Twain  Vol. 1,Mark Twain,14,Non Fiction
28,Baby Touch and Feel: Animals,DK,5,Non Fiction
29,Balance (Angie's Extreme Stress Menders),Angie Grace,11,Non Fiction
30,Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,24,Non Fiction
31,Barefoot Contessa  How Easy Is That?: Fabulous Recipes & Easy Tips,Ina Garten,21,Non Fiction
32,Becoming,Michelle Obama,11,Non Fiction
33,Becoming,Michelle Obama,11,Non Fiction
34,Being Mortal: Medicine and What Matters in the End,Atul Gawande,15,Non Fiction
35,Between the World and Me,Ta-Nehisi Coates,13,Non Fiction
36,Between the World and Me,Ta-Nehisi Coates,13,Non Fiction
37,Born to Run,Bruce Springsteen,18,Non Fiction
38,Breaking Dawn (The Twilight Saga  Book 4),Stephenie Meyer,13,Fiction
39,Broke: The Plan to Restore Our Trust  Truth and Treasure,Glenn Beck,8,Non Fiction
40,Brown Bear  Brown Bear  What Do You See?,Bill Martin Jr.,5,Fiction
41,Brown Bear  Brown Bear  What Do You See?,Bill Martin Jr.,5,Fiction
42,Cabin Fever (Diary of a Wimpy Kid  Book 6),Jeff Kinney,0,Fiction
43,Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series),Sasha O'Hara,4,Non Fiction
44,Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,18,Non Fiction
45,Capital in the Twenty First Century,Thomas Piketty,28,Non Fiction
46,Catching Fire (The Hunger Games),Suzanne Collins,11,Fiction
47,Catching Fire (The Hunger Games),Suzanne Collins,11,Fiction
48,Catching Fire (The Hunger Games),Suzanne Collins,11,Fiction
49,Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Chrissy Teigen,16,Non Fiction
50,Crazy Love: Overwhelmed by a Relentless God,Francis Chan,14,Non Fiction
51,Crazy Love: Overwhelmed by a Relentless God,Francis Chan,14,Non Fiction
52,Crazy Love: Overwhelmed by a Relentless God,Francis Chan,14,Non Fiction
53,Crazy Rich Asians (Crazy Rich Asians Trilogy),Kevin Kwan,8,Fiction
54,Creative Haven Creative Cats Coloring Book (Adult Coloring),Marjorie Sarnat,4,Non Fiction
55,Creative Haven Owls Coloring Book (Adult Coloring),Marjorie Sarnat,5,Non Fiction
56,Cutting for Stone,Abraham Verghese,11,Fiction
57,Cutting for Stone,Abraham Verghese,11,Fiction
58,Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live  Love  Parent  and Lead,Brené Brown,10,Non Fiction
59,David and Goliath: Underdogs  Misfits  and the Art of Battling Giants,Malcolm Gladwell,13,Non Fiction
60,Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,4,Fiction
61,Dead in the Family (Sookie Stackhouse/True Blood  Book 10),Charlaine Harris,8,Fiction
62,Dead Reckoning (Sookie Stackhouse/True Blood  Book 11),Charlaine Harris,4,Fiction
63,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,5,Fiction
64,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,5,Fiction
65,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,5,Fiction
66,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,5,Fiction
67,Decision Points,George W. Bush,17,Non Fiction
68,Delivering Happiness: A Path to Profits  Passion  and Purpose,Tony Hsieh,15,Non Fiction
69,Diagnostic and Statistical Manual of Mental Disorders  5th Edition: DSM-5,American Psychiatric Association,105,Non Fiction
70,Diagnostic and Statistical Manual of Mental Disorders  5th Edition: DSM-5,American Psychiatric Association,105,Non Fiction
71,Diary of a Wimpy Kid: Hard Luck  Book 8,Jeff Kinney,0,Fiction
72,Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,15,Fiction
73,Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,22,Fiction
74,Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),M Prefontaine,5,Non Fiction
75,Divergent,Veronica Roth,15,Fiction
76,Divergent,Veronica Roth,15,Fiction
77,Divergent / Insurgent,Veronica Roth,6,Fiction
78,Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You  Humanity  Mother Earth  and All…,Zhi Gang Sha,6,Non Fiction
